代码,name,收盘,筑底位,生命线,胜率,评分,强度,精选,逻辑
000707,双环科技,6.24,15.7%,12日,40.00%,70,强,★,回踩12线+缩量
603848,好太太,18.76,28.2%,17日,50.00%,70,强,★,回踩17线+缩量
600616,金枫酒业,5.41,26.5%,10日,26.00%,70,强,★,回踩10线+缩量
002508,老板电器,19.64,24.7%,10日,34.78%,70,强,★,回踩10线+缩量
002572,索菲亚,13.73,23.0%,11日,35.14%,70,强,★,回踩11线+缩量
000151,中成股份,12.26,10.9%,13日,20.00%,70,强,★,回踩13线+缩量
600749,西藏旅游,17.28,32.4%,33日,83.33%,65,强,★,回踩33线+缩量
600279,重庆港,5.49,37.1%,10日,36.73%,35,标准,★,回踩10线+缩量
000729,燕京啤酒,12.2,39.9%,28日,39.13%,35,标准,★,回踩28线+缩量
000702,正虹科技,6.75,33.1%,10日,28.57%,35,标准,★,回踩10线+缩量
002698,博实股份,16.7,35.7%,10日,47.92%,35,标准,★,回踩10线+缩量
002883,中设股份,11.08,31.9%,10日,9.30%,35,标准,★,回踩10线+缩量
600662,外服控股,5.09,31.6%,10日,21.05%,35,标准,★,回踩10线+缩量
601788,光大证券,17.8,38.4%,15日,30.00%,35,标准,★,回踩15线+缩量
603378,亚士创能,6.91,34.4%,10日,27.50%,35,标准,★,回踩10线+缩量
600579,中化装备,8.52,31.4%,10日,46.34%,35,标准,★,回踩10线+缩量
002022,科华生物,6.18,36.4%,10日,50.00%,35,标准,★,回踩10线+缩量
000888,峨眉山Ａ,13.25,30.7%,19日,53.49%,35,标准,★,回踩19线+缩量
605555,德昌股份,18.73,25.0%,10日,71.74%,100,强,,回踩10线+缩量
600480,凌云股份,12.47,28.0%,10日,57.89%,70,强,,回踩10线+缩量
600123,兰花科创,6.16,11.9%,10日,25.58%,70,强,,回踩10线+缩量
000096,广聚能源,10.54,3.5%,13日,6.25%,70,强,,回踩13线+缩量
003025,思进智能,14.71,26.0%,12日,24.39%,70,强,,回踩12线+缩量
002700,万憬能源,7.01,10.2%,21日,28.00%,70,强,,回踩21线+缩量
603060,国检集团,6.21,19.0%,11日,30.43%,70,强,,回踩11线+缩量
000937,冀中能源,5.5,15.6%,10日,9.09%,70,强,,回踩10线+缩量
601390,中国中铁,5.58,30.0%,12日,11.43%,70,强,,回踩12线+缩量
000605,渤海股份,6.84,24.7%,10日,14.81%,70,强,,回踩10线+缩量
603006,联明股份,13.28,53.6%,32日,62.50%,65,强,,回踩32线+缩量
600730,中国高科,12.49,67.9%,30日,76.47%,65,强,,回踩30线+缩量
002685,华东重机,7.78,53.9%,12日,72.00%,65,强,,回踩12线+缩量
603221,爱丽家居,13.52,57.5%,11日,66.67%,65,强,,回踩11线+缩量
600510,黑牡丹,8.96,81.2%,29日,90.00%,65,强,,回踩29线+缩量
600828,茂业商业,6.99,83.0%,31日,70.83%,65,强,,回踩31线+缩量
002066,瑞泰科技,18.93,80.2%,26日,76.47%,65,强,,回踩26线+缩量
601969,海南矿业,11.53,65.0%,15日,71.43%,65,强,,回踩15线+缩量
600884,杉杉股份,13.86,73.6%,20日,72.41%,65,强,,回踩20线+缩量
