date,code,name,price,pct_chg,volume_ratio
2026-01-23,002088,鲁阳节能,12.87,10.0,2.48
2026-01-23,600651,飞乐音响,8.89,7.11,2.41
2026-01-23,002036,联创电子,12.32,7.98,3.63
2026-01-23,600212,绿能慧充,8.5,5.46,4.43
2026-01-23,603138,海量数据,17.94,9.99,3.77
2026-01-23,600829,人民同泰,12.04,6.08,4.86
2026-01-22,002283,天润工业,7.19,9.94,2.42
2026-01-22,002420,毅昌科技,8.72,9.96,1.81
2026-01-23,600860,京城股份,13.66,5.65,2.19
2026-01-23,603878,武进不锈,8.98,10.05,2.42
2026-01-23,000156,华数传媒,8.79,7.2,3.5
2026-01-23,002805,丰元股份,17.46,5.05,2.39
2026-01-23,600586,金晶科技,6.68,10.05,3.53
2026-01-23,002174,游族网络,12.85,5.85,2.73
2026-01-21,603037,凯众股份,19.04,8.18,2.05
2026-01-21,002698,博实股份,17.91,5.41,2.29
2026-01-23,600172,黄河旋风,6.49,5.53,1.95
2026-01-21,603336,宏辉果蔬,9.09,5.33,2.26
2026-01-23,003038,鑫铂股份,18.81,10.0,1.86
2026-01-22,603001,奥康国际,10.16,9.84,2.76
2026-01-23,002780,三夫户外,16.72,10.0,5.9
2026-01-23,600916,中国黄金,9.22,10.02,2.71
2026-01-23,603108,润达医疗,17.72,5.48,2.2
2026-01-23,600063,皖维高新,7.28,5.51,2.38
2026-01-23,600133,东湖高新,10.79,6.62,1.96
2026-01-23,002846,英联股份,18.18,5.39,2.41
2026-01-23,002079,苏州固锝,11.11,5.61,2.08
2026-01-23,002245,蔚蓝锂芯,19.66,7.31,3.08
2026-01-23,002590,万安科技,16.2,5.33,3.12
2026-01-23,600650,锦江在线,17.03,5.71,2.96
2026-01-23,002125,湘潭电化,15.33,8.34,4.0
2026-01-23,600191,华资实业,13.77,5.6,2.2
2026-01-23,002783,凯龙股份,11.04,6.15,2.44
2026-01-23,002679,福建金森,13.15,10.04,2.27
2026-01-23,000990,诚志股份,9.21,10.04,4.99
2026-01-23,002585,双星新材,7.99,5.83,2.25
2026-01-23,002860,星帅尔,14.92,7.88,3.87
2026-01-21,600230,沧州大化,19.3,6.34,2.47
2026-01-23,002398,垒知集团,6.41,5.08,2.51
2026-01-22,002467,二六三,6.79,6.26,6.28
2026-01-23,003042,中农联合,19.09,10.03,3.51
2026-01-23,600207,安彩高科,5.2,5.69,2.85
2026-01-20,603616,韩建河山,6.23,10.07,2.11
2026-01-23,603883,老百姓,16.44,5.93,7.19
2026-01-23,002405,四维图新,11.24,9.98,3.28
2026-01-23,603628,清源股份,14.73,5.74,2.68
2026-01-23,601012,隆基绿能,19.35,10.01,2.6
2026-01-23,000565,渝三峡Ａ,8.8,10.0,3.17
2026-01-23,000155,川能动力,14.12,8.95,2.95
2026-01-23,002345,潮宏基,14.33,7.42,2.62
2026-01-23,600876,凯盛新能,10.91,6.54,2.57
2026-01-23,002129,TCL中环,9.75,7.85,2.14
2026-01-23,601865,福莱特,17.89,7.9,2.51
2026-01-22,600851,海欣股份,8.0,5.26,3.28
