代码,名称,类型,调整,单阳日,现价,筛选时间
002012,凯恩股份,中势型,4,2026-02-11,7.38,2026-02-27 08:43:00
600295,鄂尔多斯,中势型,4,2026-02-11,16.34,2026-02-27 08:43:00
002340,格林美,中势型,4,2026-02-11,9.84,2026-02-27 08:43:00
000582,北部湾港,中势型,4,2026-02-11,10.6,2026-02-27 08:43:00
000850,华茂股份,中势型,4,2026-02-11,5.84,2026-02-27 08:43:00
688517,金冠电气,中势型,4,2026-01-19,18.05,2026-02-27 08:43:00
600299,安迪苏,中势型,4,2026-02-11,10.47,2026-02-27 08:43:00
000612,焦作万方,中势型,4,2026-02-11,14.39,2026-02-27 08:43:00
688156,路德环境,中势型,4,2026-01-19,19.76,2026-02-27 08:43:00
688432,有研硅,中势型,5,2026-01-16,14.37,2026-02-27 08:43:00
000571,新大洲A,中势型,5,2026-02-10,7.45,2026-02-27 08:43:00
603328,依顿电子,中势型,5,2026-02-10,13.21,2026-02-27 08:43:00
002215,诺 普 信,中势型,5,2026-02-10,12.05,2026-02-27 08:43:00
600668,尖峰集团,中势型,5,2026-02-10,11.59,2026-02-27 08:43:00
600326,西藏天路,中势型,5,2026-02-10,11.3,2026-02-27 08:43:00
688597,煜邦电力,中势型,5,2026-01-16,9.92,2026-02-27 08:43:00
688096,京源环保,中势型,5,2026-01-15,9.35,2026-02-27 08:43:00
603162,海通发展,中势型,5,2026-02-10,15.22,2026-02-27 08:43:00
000829,天音控股,中势型,5,2026-02-10,10.82,2026-02-27 08:43:00
600207,安彩高科,中势型,5,2026-02-10,5.42,2026-02-27 08:43:00
603861,白云电器,强势型,1,2026-02-24,18.13,2026-02-27 08:43:00
600667,太极实业,强势型,1,2026-02-24,10.8,2026-02-27 08:43:00
000811,冰轮环境,强势型,1,2026-02-24,19.13,2026-02-27 08:43:00
002478,常宝股份,强势型,1,2026-02-24,11.55,2026-02-27 08:43:00
002283,天润工业,强势型,1,2026-02-24,10.05,2026-02-27 08:43:00
603601,再升科技,强势型,1,2026-02-24,13.02,2026-02-27 08:43:00
600470,六国化工,强势型,1,2026-02-24,7.84,2026-02-27 08:43:00
603466,风语筑,强势型,1,2026-02-24,12.97,2026-02-27 08:43:00
600916,中国黄金,强势型,1,2026-02-24,11.59,2026-02-27 08:43:00
603002,宏昌电子,强势型,1,2026-02-24,11.54,2026-02-27 08:43:00
603588,高能环境,强势型,1,2026-02-24,11.69,2026-02-27 08:43:00
603330,天洋新材,强势型,1,2026-02-24,8.2,2026-02-27 08:43:00
600869,远东股份,强势型,1,2026-02-24,14.26,2026-02-27 08:43:00
601777,千里科技,强势型,2,2026-02-13,11.39,2026-02-27 08:43:00
600397,江钨装备,强势型,2,2026-02-13,18.74,2026-02-27 08:43:00
002448,中原内配,强势型,3,2026-02-12,16.12,2026-02-27 08:43:00
002131,利欧股份,强势型,3,2026-02-12,9.34,2026-02-27 08:43:00
