代码,名称,调整天数,单阳日,现价,筛选时间,类型
002601,龙佰集团,4,2026-06-22,17.37,2026-06-30 11:26:33,中势型
600178,东安动力,4,2026-06-22,10.2,2026-06-30 11:26:33,中势型
002910,庄园牧场,4,2026-06-22,12.27,2026-06-30 11:26:33,中势型
002068,黑猫股份,3,2026-06-23,14.6,2026-06-30 11:26:33,强势型
605069,正和生态,2,2026-06-24,14.51,2026-06-30 11:26:33,强势型
600379,宝光股份,2,2026-06-24,14.52,2026-06-30 11:26:33,强势型
002367,康力电梯,2,2026-06-24,6.68,2026-06-30 11:26:33,强势型
600246,万通发展,2,2026-06-24,19.97,2026-06-30 11:26:33,强势型
002631,德尔未来,2,2026-06-24,9.89,2026-06-30 11:26:33,强势型
603956,威派格,1,2026-06-25,5.83,2026-06-30 11:26:33,强势型
603898,好莱客,1,2026-06-25,14.51,2026-06-30 11:26:33,强势型
603001,奥康国际,1,2026-06-24,14.14,2026-06-30 11:26:33,强势型
002928,华夏航空,1,2026-06-25,7.64,2026-06-30 11:26:33,强势型
603335,迪生力,1,2026-06-25,9.04,2026-06-30 11:26:33,强势型
000783,长江证券,1,2026-06-25,9.76,2026-06-30 11:26:33,强势型
600516,方大炭素,1,2026-06-25,6.47,2026-06-30 11:26:33,强势型
