date,code,name,price
2026-03-04,600769,祥龙电业,12.76
2026-03-04,002678,珠江钢琴,5.82
2026-03-04,002405,四维图新,10.68
2026-03-04,002519,银河电子,9.02
2026-03-04,605183,确成股份,21.56
2026-03-04,002202,金风科技,26.33
2026-03-04,001914,招商积余,11.59
2026-03-04,600960,渤海汽车,5.44
2026-03-04,000970,中科三环,14.3
2026-03-04,002724,海洋王,7.58
2026-03-04,002099,海翔药业,7.45
2026-03-04,603985,恒润股份,16.58
2026-03-04,002441,众业达,10.61
2026-03-04,002537,海联金汇,8.9
2026-03-04,603958,哈森股份,19.58
2026-03-04,002845,同兴达,15.09
2026-03-04,002131,利欧股份,9.11
2026-03-04,600618,氯碱化工,15.58
2026-03-04,002205,国统股份,14.23
2026-03-04,603311,金海高科,15.93
2026-03-04,000729,燕京啤酒,12.73
2026-03-04,600475,华光环能,20.61
2026-03-04,002095,生 意 宝,18.8
2026-03-04,601882,海天精工,20.86
2026-03-04,002105,信隆健康,7.25
2026-03-04,000789,万年青,5.67
2026-03-04,600189,泉阳泉,8.44
2026-03-04,002749,国光股份,13.99
2026-03-04,605018,长华集团,11.74
