日期,股票代码,股票名称,收盘价,形态
2026-01-21,002196,方正电机,18.68,涨停回调
2026-01-23,603739,蔚蓝生物,15.83,涨停回调
2026-01-23,002614,奥佳华,7.75,涨停回调
2026-01-22,603938,三孚股份,27.93,涨停回调
2026-01-23,601965,中国汽研,20.24,涨停回调
2026-01-22,002849,威星智能,19.17,涨停回调
2026-01-22,002400,省广集团,10.99,涨停回调
2026-01-23,000409,云鼎科技,12.11,涨停回调
2026-01-22,002131,利欧股份,8.42,涨停回调
2026-01-22,601858,中国科传,20.69,涨停回调
2026-01-23,002858,力盛体育,16.75,涨停回调
2026-01-23,601615,明阳智能,21.65,涨停回调
2026-01-22,603282,亚光股份,21.63,涨停回调
2026-01-23,002181,粤 传 媒,11.68,涨停回调
2026-01-21,002029,七 匹 狼,12.46,涨停回调
2026-01-23,002546,新联电子,9.56,涨停回调
2026-01-23,600189,泉阳泉,8.37,涨停回调
2026-01-21,603861,白云电器,15.22,涨停回调
2026-01-23,002842,翔鹭钨业,22.28,涨停回调
2026-01-22,600215,派斯林,7.85,涨停回调
2026-01-23,600198,大唐电信,10.61,涨停回调
2026-01-23,002119,康强电子,23.4,涨停回调
2026-01-22,002171,楚江新材,14.4,涨停回调
2026-01-23,600694,大商股份,19.24,涨停回调
2026-01-23,002044,美年健康,7.73,涨停回调
2026-01-23,600589,大位科技,9.58,涨停回调
2026-01-23,600268,国电南自,13.95,涨停回调
2026-01-22,601958,金钼股份,19.22,涨停回调
2026-01-23,603058,永吉股份,11.75,涨停回调
2026-01-23,002427,尤夫股份,7.6,涨停回调
2026-01-22,688590,新致软件,21.79,涨停回调
2026-01-21,002490,山东墨龙,8.18,涨停回调
2026-01-23,603079,圣达生物,21.41,涨停回调
2026-01-23,601133,柏诚股份,18.61,涨停回调
2026-01-22,600965,福成股份,6.26,涨停回调
2026-01-23,601179,中国西电,15.94,涨停回调
2026-01-23,002574,明牌珠宝,6.57,涨停回调
2026-01-23,002478,常宝股份,10.23,涨停回调
2026-01-23,002836,新宏泽,16.2,涨停回调
2026-01-23,600841,动力新科,8.06,涨停回调
2026-01-23,002066,瑞泰科技,21.37,涨停回调
2026-01-23,603038,华立股份,17.87,涨停回调
2026-01-23,003039,顺控发展,17.69,涨停回调
2026-01-23,601163,三角轮胎,15.43,涨停回调
2026-01-23,600163,中闽能源,5.97,涨停回调
